Initial,hrs,0,,,,,
PC,hrs,2,,,,,
OpHS6590,hrs,1,168,336,504,1008,
HS8585,hrs,0,168,336,504,1008,
HS4090,hrs,0,168,336,504,1008,
HS6590,hrs,0,168,336,504,1008,
DH110,hrs,0,168,336,504,1008,
HAST11085,hrs,6,12,24,48,72,96
HAST13085,hrs,6,12,24,48,72,96
TC125,cycle,0,125,250,500,1000,
TC85,cycle,0,125,250,500,1000,
TC65,cycle,0,125,250,500,1000,
THC,cycle,0,6,12,18,,
DHC,cycle,0,8,12,24,48,
RandomVib,min,0,400,800,1200,2400,3600
Altitude,cycle,0,1,2,3,4,5
DUST,hrs,0,1,,,,
Shock_10kg,cycle,0,6,12,18,,
Shock_20kg,cycle,0,6,12,18,,
Shock_30kg,cycle,0,6,12,18,,
HSD,cycle,0,250,500,1250,2500,3750
PkgImpact,round,0,1_manualimpact,2manualimpact,,,
StackVib,min,60,,,,,
PkgVib,min,180,,,,,
PkgStorage,cycle,6,12,,,,
CDM_XX_OpHS_ZZ_Test_YY_SEC__AA,cycle[XX],0,3,,,,
CDM_XX_OpHS_ZZ_Test_YY_SEC__AA,min[ZZ],72,168,,,,
CDM_XX_OpHS_ZZ_Test_YY_SEC__AA,hrs[YY],72,168,,,,
CDM_XX_OpHS_ZZ_Test_YY_SEC__AA,sec[AA],72,168,,,,
HS_XX_Shock_YY,hrs[XX],0,168,,,,
HS_XX_Shock_YY,cycle[YY],18,,,,,
TC_XX_Shock_YY,cycle[XX],0,125,,,,
TC_XX_Shock_YY,cycle[YY],18,,,,,
